location,type,overall
Roberto's Taco Shop Hillcrest,Golden State,4.2
Roberto's Taco Shop Hillcrest,California,4.2
Kotija Jr,California,3.7
Kotija Jr,Steak fajitas,4.2
El Rey Moro,Hashbrown,3.2
El Rey Moro,Hashbrown,3.8
Taco Villa,Carnitas,3.8
Taco Villa,Carne asada,4.3
Los Tacos,Local,4.3
Los Tacos,Local,4.5
Rigoberto's Taco Shop,California,4.1
Rigoberto's Taco Shop,California,4.25
Burrito Box,Steak with guacamole,3.5
Taco Stand,California,4.2
Taco Stand,California,4.5
Lolita's Taco Shop,California,3.5
El Patron,Breakfast,2
La Posta de Acapulco,California,4.8
Los Tacos 2,Local,3
Rigoberto's Taco Shop,Carne asada,4
Taco Villa,Carnitas,4.1
Taco Villa,Carnitas,4
Taco Villa,Carnitas,3.5
Mikes Taco Club,California,4.2
Mikes Taco Club,California,3.8
Taco Villa,Chile Verde (pork),3.6
El Zarape,Supreme chicken,3.8
Taco Villa,Carnitas,4
Taco Villa,Carnitas,4
Lucha Libre Carlsbad,Alambre california,4.1
Lucha Libre Carlsbad,Surfin california,3.9
Lucha Libre Carlsbad,Ado-haba california,3.1
Lucha Libre Carlsbad,Ala tingada california,1.5
Taco Villa,California,3.2
Taco Villa,Carnitas,3.7
Taco Villa,Carnitas,4.5
Tony's Fresh Mexican Food,La Paz,4
Tony's Fresh Mexican Food,La Paz,4
Tony's Fresh Mexican Food,Adobada,4
Tony's Fresh Mexican Food,Adobada,3.5
Tony's Fresh Mexican Food,Veggie,3.5
Taco Stand,California,4.9
Kotija Jr,California,4.1
Valentine's Mexican Food,Pollo asado,4.8
Valentine's Mexican Food,Carne asada,4
Valentine's Mexican Food,Al Pastor,4
Valentine's Mexican Food,California,4.25
Valentine's Mexican Food,Al Pastor,3.5
Valentine's Mexican Food,Chile Relleno,4
Valentine's Mexican Food,California,3.5
Valentine's Mexican Food,Shrimp,4
Valentine's Mexican Food,Pollo Asado,4.6
